DataIni,NumTrips,TotalGiros,MeanDuracao,Day
2018-11-01,8641,168871,32.69355398680708,3
2018-11-02,3319,49890,26.738174148840013,4
2018-11-03,4699,60500,28.05107469674399,5
2018-11-04,3239,41233,26.62334053720284,6
2018-11-05,8838,172403,31.91276306856755,0
2018-11-06,8751,175886,32.59238944120672,1
2018-11-07,8781,171710,32.36134836578977,2
2018-11-08,8751,172608,32.63101359844589,3
2018-11-09,8770,170565,32.31881413911061,4
2018-11-10,4740,72130,28.35379746835443,5
2018-11-11,3230,46528,27.175232198142414,6
2018-11-12,8841,175702,32.19782829996607,0
2018-11-13,8610,170289,32.4527293844367,1
2018-11-14,8651,172330,32.693677031557044,2
2018-11-15,3287,52606,27.39062975357469,3
2018-11-16,8860,129725,30.904966139954855,4
2018-11-17,4709,72168,28.73370142280739,5
2018-11-18,3259,36514,26.20251610923596,6
2018-11-19,8803,172511,32.201408610700895,0
2018-11-20,8876,177261,32.262054979720595,1
2018-11-21,8816,176222,32.57214156079855,2
2018-11-22,8831,173200,32.283999547050165,3
2018-11-23,8824,171248,32.37216681776972,4
2018-11-24,4714,67272,28.448027153160798,5
2018-11-25,3229,43440,27.01765252400124,6
2018-11-26,8860,170729,31.789051918735893,0
2018-11-27,8866,170502,31.769681930972254,1
2018-11-28,8808,166050,32.11319255222525,2
2018-11-29,8635,156248,32.395251881876085,3
2018-11-30,8738,162725,32.35728999771115,4
2018-12-01,4716,77650,28.879558948261238,5
2018-12-02,3205,43200,27.107020280811234,6
2018-12-03,8886,169711,31.84863830744992,0
2018-12-04,8767,170909,32.2379377209992,1
2018-12-05,8761,171997,32.64410455427463,2
2018-12-06,8864,170430,32.05234657039711,3
2018-12-07,8782,165191,32.0791391482578,4
2018-12-08,4706,80924,29.347641308967276,5
2018-12-09,3232,48956,27.21720297029703,6
2018-12-10,8729,161589,32.204949020506355,0
2018-12-11,8843,167179,32.110709035395224,1
2018-12-12,8856,163352,32.09067299006323,2
2018-12-13,8878,159043,31.913156116242398,3
2018-12-14,8911,157228,31.903602289305354,4
2018-12-15,4660,77055,28.913948497854076,5
2018-12-16,3275,48455,26.8412213740458,6
2018-12-17,8796,147843,31.686789449749885,0
2018-12-18,8781,144915,31.91162737729188,1
2018-12-19,8765,145048,31.885567598402737,2
2018-12-20,8803,139724,31.658411905032374,3
2018-12-21,8766,132045,31.50239561943874,4
2018-12-22,4742,78293,28.997680303669338,5
2018-12-23,3265,47689,27.601837672281775,6
2018-12-24,4704,67752,28.47470238095238,0
2018-12-25,3263,27637,25.956481765246707,1
2018-12-26,8630,102829,29.618887601390497,2
2018-12-27,8593,113048,30.499825439311067,3
2018-12-28,8322,115620,31.019586637827445,4
2018-12-29,4549,70174,30.162673114970325,5
2018-12-30,3127,46808,29.309561880396547,6
2018-12-31,4639,75084,30.0784651864626,0
2019-01-01,3363,45900,28.12399643175736,1
2019-01-02,8314,105293,30.594659610295885,2
2019-01-03,8317,111903,30.830227245400987,3
2019-01-04,8436,114210,30.770507349454718,4
2019-01-05,4778,67552,29.726873168689828,5
2019-01-06,3319,44744,29.273877673998193,6
2019-01-07,8389,128531,31.46751698652998,0
2019-01-08,8561,133949,30.955028618152085,1
2019-01-09,8596,133810,31.033503955328058,2
2019-01-10,8562,130833,30.939032936229854,3
2019-01-11,8566,131220,31.21515293018912,4
2019-01-12,4787,69843,29.832671819511177,5
